Title,Company,Location,Salary Min,Salary Max,Contract Type,Category,Created,Description,Redirect URL
Data Analyst,,"Thiruvananthapuram, Kerala",,,,IT Jobs,2024-05-10T07:38:46Z,Immediate requirement for the post of Data Analyst on rotation Shift (Male or Female). Persons only willing to work in both shifts need to apply.careers.coretechgmail.comorplease contact 9.4.nine.6.8.1.5.6.3.0,https://www.adzuna.in/details/4686704238?utm_medium=api&utm_source=2c923469
Data Analyst,SkySun,India,,,,IT Jobs,2026-03-27T13:39:38Z,"Role Overview We are looking for a Data Analyst with strong expertise in Microsoft Excel who can efficiently work with large datasets, formulas, and analytical models. The ideal candidate should be able to transform raw data into meaningful insights , build efficient spreadsheets, and support business decisions through structured analysis and reporting. This role requires someone who is highly detail-oriented, analytical, and extremely efficient in Excel-based data handling. Key Responsibilitie…",https://www.adzuna.in/details/5680120020?utm_medium=api&utm_source=2c923469
Data Analyst,LRN Corporation,India,,,,IT Jobs,2026-04-09T01:03:12Z,"Position: Data Analyst Location: Mumbai, India About LRN: LRN is the world’s leading dedicated ethics and compliance SaaS company, helping more than 30 million people every year navigate complex regional and global regulatory environments and build ethical, responsible cultures. With over 3,000 clients across the US, EMEA, APAC, and Latin America—including some of the world’s most respected and successful brands—we’re proud to be the long-term partner trusted to reduce organizational risk and d…",https://www.adzuna.in/details/5693524382?utm_medium=api&utm_source=2c923469
Data Analyst,Cloudester Software LLP,"Sevasi, Vadodara",,,contract,IT Jobs,2026-07-09T02:21:15Z,"We are looking for a Data Analyst with 2–3 years of experience for a 3-month contract . You will be responsible for extracting web data, organizing it in Excel, and communicating findings clearly to our team. Role Details Duration: 3 Months Experience Required: 2–3 years Location: Vadodara Key Responsibilities Extract data from various websites using web scraping tools. Clean, organize, and analyze the collected datasets. Write database queries to pull and manage information. Present data findi…",https://www.adzuna.in/details/5793077025?utm_medium=api&utm_source=2c923469
Data Analyst,Weekday AI,India,,,,IT Jobs,2026-07-10T15:19:19Z,"This role is for one of Weekday’s clients Min Experience: 1 years Location: Nagpur JobType: full-time We're looking for a Data Analyst who is adaptable, quick to learn, and comfortable working across multiple projects and business functions. Unlike a dedicated role tied to one domain, this position will rotate/support across different projects as business priorities shift, making it ideal for someone who's curious, eager to build breadth, and thrives in a dynamic environment. Requirements Key R…",https://www.adzuna.in/details/5795450231?utm_medium=api&utm_source=2c923469
Data Analyst,Weekday AI,India,,,,IT Jobs,2026-07-16T22:18:12Z,"This role is for one of the Weekday's clients Salary range: Rs 1000000 - Rs 2000000 (ie INR 10-20 LPA) Experience: 3 yrs Location: Mumbai, Maharashtra, India Job Type: Full-Time We are looking for a detail-oriented and analytical Data Analyst with expertise in Neo4j, Graph RAG, and Data Governance to support the design, analysis, and optimization of enterprise data solutions. The ideal candidate will play a key role in transforming complex datasets into meaningful insights while contributing to…",https://www.adzuna.in/details/5803358883?utm_medium=api&utm_source=2c923469
Data Analyst,Proof of Skill,"Andheri, Mumbai",1200000.0,1200000.0,permanent,IT Jobs,2026-07-03T06:18:29Z,"Analyzing hiring and candidate data to improve decision-making, shortlisting, and overall system efficiency. Skills: Logical/analytical thinking, Excel/Google Sheets, basic SQL, data interpretation, data visualization, attention to detail. Responsibilities: Analyze candidate and hiring data, build dashboards and reports, improve shortlisting/scoring systems, track hiring funnel metrics, work with ops/product teams, ensure data accuracy. This is a remote position.",https://www.adzuna.in/details/5786180968?utm_medium=api&utm_source=2c923469
Data Analyst,Ubisoft,"Pune, Maharashtra",,,,IT Jobs,2026-07-16T06:56:15Z,"Job Description Impact - Enable data-driven decisions for leaders for LiveOps events, feature launches, and content updates through dashboards by defining datasets. Track KPIs including and not limited upto - Daily Active Users (DAU), Retention Rate, Churn Rate, ARPU (Average Revenue Per User), and session metrics. Make daily / weekly/monthly reports on player behavior, performance accuracy, engagement, and monetization / revenue trends to improve visibility. Proactively identify patterns, anom…",https://www.adzuna.in/details/5802046407?utm_medium=api&utm_source=2c923469
Data Analyst,Sia,"Mumbai, Maharashtra",,,,IT Jobs,2026-07-08T06:34:02Z,"Job Description We are hiring a Power BI Developer to support our global internal teams (Finance, HR, Strategy, Corporate Functions) by delivering high-impact business intelligence dashboards, datasets, and analytics solutions. This role is critical for strengthening our internal reporting systems and driving data-backed decision-making across the organization. Key Responsibilities Design, maintain, and enhance internal Power BI dashboards and analytics for Corporate Finance and other functions…",https://www.adzuna.in/details/5791623332?utm_medium=api&utm_source=2c923469
Data Analyst,Digital Twin,"Pune, Maharashtra",,,,IT Jobs,2026-05-21T02:12:34Z,"Job Summary - Data Analyst We are looking to hire a data analyst to join our enterprise customer solutions team. As a Data Analyst, one will take responsibility for developing reports, and troubleshooting data issues. To do well in this role you need attention to detail, past experience as a data analyst, and a deep understanding of the popular data analysis tools and databases. Data Analyst Responsibilities: ● Commissioning and decommissioning of data sets. ● Processing confidential data and i…",https://www.adzuna.in/details/5735463452?utm_medium=api&utm_source=2c923469
